prog	rankval	mt	iu	okp	auc
283	TopHat-Fusion	16	9	1	0	0.38
284	TopHat-Fusion	16	9	1	1	0.38
285	TopHat-Fusion	15	10	0	0	0.3
286	TopHat-Fusion	14	10	0	1	0.31
287	TopHat-Fusion	16	10	1	0	0.38
288	TopHat-Fusion	16	10	1	1	0.38
289	SOAP-fuse	10	3	0	0	0.13
290	SOAP-fuse	12	3	0	1	0.12
291	SOAP-fuse	12	3	1	0	0.13
292	SOAP-fuse	11	3	1	1	0.13
293	SOAP-fuse	8	4	0	0	0.27
294	SOAP-fuse	9	4	0	1	0.26
295	SOAP-fuse	10	4	1	0	0.28
296	SOAP-fuse	11	4	1	1	0.27
297	SOAP-fuse	7	5	0	0	0.36
298	SOAP-fuse	7	5	0	1	0.35
299	SOAP-fuse	9	5	1	0	0.38
300	SOAP-fuse	8	5	1	1	0.37
301	SOAP-fuse	6	6	0	0	0.42
302	SOAP-fuse	5	6	0	1	0.42
303	SOAP-fuse	8	6	1	0	0.44
304	SOAP-fuse	8	6	1	1	0.43
305	SOAP-fuse	3	7	0	0	0.48
306	SOAP-fuse	4	7	0	1	0.47
307	SOAP-fuse	8	7	1	0	0.51
308	SOAP-fuse	8	7	1	1	0.5
309	SOAP-fuse	3	8	0	0	0.52
310	SOAP-fuse	3	8	0	1	0.51
311	SOAP-fuse	8	8	1	0	0.55
312	SOAP-fuse	8	8	1	1	0.54
313	SOAP-fuse	3	9	0	0	0.55
314	SOAP-fuse	3	9	0	1	0.54
315	SOAP-fuse	7	9	1	0	0.58
316	SOAP-fuse	7	9	1	1	0.57
317	SOAP-fuse	4	10	0	0	0.56
318	SOAP-fuse	5	10	0	1	0.56
319	SOAP-fuse	6	10	1	0	0.62
320	SOAP-fuse	6	10	1	1	0.61
321	TrinityFusion-C	11	3	0	0	0.13
322	TrinityFusion-C	10	3	0	1	0.13
323	TrinityFusion-C	10	3	1	0	0.14
324	TrinityFusion-C	12	3	1	1	0.13
325	TrinityFusion-C	7	4	0	0	0.29
326	TrinityFusion-C	7	4	0	1	0.27
327	TrinityFusion-C	8	4	1	0	0.3
328	TrinityFusion-C	10	4	1	1	0.28
329	TrinityFusion-C	6	5	0	0	0.38
330	TrinityFusion-C	6	5	0	1	0.36
331	TrinityFusion-C	7	5	1	0	0.39
332	TrinityFusion-C	9	5	1	1	0.37
333	TrinityFusion-C	2	6	0	0	0.46
334	TrinityFusion-C	2	6	0	1	0.44
335	TrinityFusion-C	6	6	1	0	0.48
336	TrinityFusion-C	7	6	1	1	0.45
337	TrinityFusion-C	2	7	0	0	0.51
338	TrinityFusion-C	2	7	0	1	0.49
339	TrinityFusion-C	6	7	1	0	0.54
340	TrinityFusion-C	6	7	1	1	0.52
341	TrinityFusion-C	2	8	0	0	0.55
