progname	min_thresh	ignoreUnsure	okpara	auc
deFuse	5	1	1	0.10
nFuse	5	1	1	0.10
EricScript	5	1	1	0.04
STAR_FUSION_v1.5	5	1	0	0.67
ARRIBA	5	1	0	0.58
ARRIBA_hc	5	1	0	0.54
STARSEQR	5	1	0	0.44
ChimPipe	5	1	0	0.43
FUSIONCATCHER_v1.10_June192019	5	1	0	0.41
TrinityFusion-C	5	1	0	0.39
InFusion	5	1	0	0.38
SOAP-fuse	5	1	0	0.38
TrinityFusion-UC	5	1	0	0.37
STARCHIP_csm10_pGm2_May012019	5	1	0	0.34
MapSplice	5	1	0	0.33
TopHat-Fusion	5	1	0	0.31
PIZZLY	5	1	0	0.29
TrinityFusion-D	5	1	0	0.29
JAFFA-Direct	5	1	0	0.26
PRADA	5	1	0	0.26
JAFFA-Assembly	5	1	0	0.21
ChimeraScan	5	1	0	0.16
JAFFA-Hybrid	5	1	0	0.14
FusionHunter	5	1	0	0.12
deFuse	5	1	0	0.10
nFuse	5	1	0	0.10
EricScript	5	1	0	0.04
STAR_FUSION_v1.5	6	1	1	0.76
ARRIBA	6	1	1	0.63
ARRIBA_hc	6	1	1	0.59
STARSEQR	6	1	1	0.51
ChimPipe	6	1	1	0.49
FUSIONCATCHER_v1.10_June192019	6	1	1	0.46
TrinityFusion-C	6	1	1	0.45
SOAP-fuse	6	1	1	0.43
TrinityFusion-UC	6	1	1	0.42
InFusion	6	1	1	0.41
MapSplice	6	1	1	0.40
STARCHIP_csm10_pGm2_May012019	6	1	1	0.38
TopHat-Fusion	6	1	1	0.34
TrinityFusion-D	6	1	1	0.33
PRADA	6	1	1	0.31
PIZZLY	6	1	1	0.30
JAFFA-Direct	6	1	1	0.28
JAFFA-Assembly	6	1	1	0.24
ChimeraScan	6	1	1	0.17
JAFFA-Hybrid	6	1	1	0.15
FusionHunter	6	1	1	0.14
nFuse	6	1	1	0.11
deFuse	6	1	1	0.09
EricScript	6	1	1	0.05
STAR_FUSION_v1.5	6	0	0	0.71
TrinityFusion-C	6	0	0	0.46
FUSIONCATCHER_v1.10_June192019	6	0	0	0.43
ARRIBA	6	0	0	0.42
ChimPipe	6	0	0	0.42
SOAP-fuse	6	0	0	0.42
TrinityFusion-UC	6	0	0	0.42
ARRIBA_hc	6	0	0	0.41
MapSplice	6	0	0	0.39
InFusion	6	0	0	0.38
STARSEQR	6	0	0	0.33
TrinityFusion-D	6	0	0	0.33
TopHat-Fusion	6	0	0	0.28
JAFFA-Direct	6	0	0	0.26
PRADA	6	0	0	0.25
STARCHIP_csm10_pGm2_May012019	6	0	0	0.23
JAFFA-Assembly	6	0	0	0.22
PIZZLY	6	0	0	0.21
ChimeraScan	6	0	0	0.15
FusionHunter	6	0	0	0.14
JAFFA-Hybrid	6	0	0	0.14
nFuse	6	0	0	0.09
deFuse	6	0	0	0.08
EricScript	6	0	0	0.04
STAR_FUSION_v1.5	6	0	1	0.71
TrinityFusion-C	6	0	1	0.44
FUSIONCATCHER_v1.10_June192019	6	0	1	0.43
ChimPipe	6	0	1	0.42
SOAP-fuse	6	0	1	0.42
TrinityFusion-UC	6	0	1	0.42
ARRIBA	6	0	1	0.40
ARRIBA_hc	6	0	1	0.39
MapSplice	6	0	1	0.39
InFusion	6	0	1	0.37
STARSEQR	6	0	1	0.34
TrinityFusion-D	6	0	1	0.33
TopHat-Fusion	6	0	1	0.28
JAFFA-Direct	6	0	1	0.26
PRADA	6	0	1	0.25
STARCHIP_csm10_pGm2_May012019	6	0	1	0.23
JAFFA-Assembly	6	0	1	0.21
PIZZLY	6	0	1	0.20
ChimeraScan	6	0	1	0.15
FusionHunter	6	0	1	0.14
JAFFA-Hybrid	6	0	1	0.14
nFuse	6	0	1	0.09
deFuse	6	0	1	0.08
EricScript	6	0	1	0.04
STAR_FUSION_v1.5	6	1	0	0.78
ARRIBA	6	1	0	0.66
ARRIBA_hc	6	1	0	0.62
STARSEQR	6	1	0	0.50
ChimPipe	6	1	0	0.49
TrinityFusion-C	6	1	0	0.48
FUSIONCATCHER_v1.10_June192019	6	1	0	0.47
SOAP-fuse	6	1	0	0.44
TrinityFusion-UC	6	1	0	0.44
InFusion	6	1	0	0.42
MapSplice	6	1	0	0.40
STARCHIP_csm10_pGm2_May012019	6	1	0	0.38
TopHat-Fusion	6	1	0	0.34
TrinityFusion-D	6	1	0	0.34
PIZZLY	6	1	0	0.31
PRADA	6	1	0	0.31
JAFFA-Direct	6	1	0	0.28
JAFFA-Assembly	6	1	0	0.24
ChimeraScan	6	1	0	0.18
JAFFA-Hybrid	6	1	0	0.15
FusionHunter	6	1	0	0.14
nFuse	6	1	0	0.11
deFuse	6	1	0	0.10
EricScript	6	1	0	0.05
STAR_FUSION_v1.5	7	0	0	0.75
TrinityFusion-C	7	0	0	0.51
SOAP-fuse	7	0	0	0.48
ChimPipe	7	0	0	0.47
FUSIONCATCHER_v1.10_June192019	7	0	0	0.47
TrinityFusion-UC	7	0	0	0.46
MapSplice	7	0	0	0.45
ARRIBA	7	0	0	0.44
ARRIBA_hc	7	0	0	0.44
InFusion	7	0	0	0.41
TrinityFusion-D	7	0	0	0.38
STARSEQR	7	0	0	0.35
TopHat-Fusion	7	0	0	0.29
JAFFA-Direct	7	0	0	0.28
PRADA	7	0	0	0.28
STARCHIP_csm10_pGm2_May012019	7	0	0	0.25
JAFFA-Assembly	7	0	0	0.24
PIZZLY	7	0	0	0.23
ChimeraScan	7	0	0	0.16
FusionHunter	7	0	0	0.16
JAFFA-Hybrid	7	0	0	0.15
nFuse	7	0	0	0.10
deFuse	7	0	0	0.09
EricScript	7	0	0	0.05
STAR_FUSION_v1.5	7	0	1	0.76
TrinityFusion-C	7	0	1	0.49
FUSIONCATCHER_v1.10_June192019	7	0	1	0.47
SOAP-fuse	7	0	1	0.47
ChimPipe	7	0	1	0.46
TrinityFusion-UC	7	0	1	0.46
MapSplice	7	0	1	0.45
ARRIBA_hc	7	0	1	0.43
ARRIBA	7	0	1	0.42
InFusion	7	0	1	0.41
TrinityFusion-D	7	0	1	0.38
STARSEQR	7	0	1	0.37
TopHat-Fusion	7	0	1	0.30
JAFFA-Direct	7	0	1	0.29
PRADA	7	0	1	0.28
STARCHIP_csm10_pGm2_May012019	7	0	1	0.25
JAFFA-Assembly	7	0	1	0.24
PIZZLY	7	0	1	0.22
ChimeraScan	7	0	1	0.16
FusionHunter	7	0	1	0.16
JAFFA-Hybrid	7	0	1	0.15
nFuse	7	0	1	0.10
deFuse	7	0	1	0.09
EricScript	7	0	1	0.05
STAR_FUSION_v1.5	7	1	1	0.82
ARRIBA	7	1	1	0.68
ARRIBA_hc	7	1	1	0.65
STARSEQR	7	1	1	0.56
ChimPipe	7	1	1	0.55
TrinityFusion-C	7	1	1	0.52
FUSIONCATCHER_v1.10_June192019	7	1	1	0.51
SOAP-fuse	7	1	1	0.50
TrinityFusion-UC	7	1	1	0.48
