progname	min_thresh	ignoreUnsure	okpara	auc
STARCHIP_csm10_pGm2_May012019	3	0	1	0.31
FusionHunter	3	0	1	0.29
PIZZLY	3	0	1	0.28
JAFFA-Assembly	3	0	1	0.23
JAFFA-Hybrid	3	0	1	0.23
InFusion	3	0	1	0.22
MapSplice	3	0	1	0.21
TrinityFusion-UC	3	0	1	0.20
TrinityFusion-C	3	0	1	0.19
nFuse	3	0	1	0.16
ChimeraScan	3	0	1	0.15
TopHat-Fusion	3	0	1	0.15
TrinityFusion-D	3	0	1	0.14
deFuse	3	0	1	0.14
EricScript	3	0	1	0.10
STAR_FUSION_v1.5	4	1	0	0.69
ChimPipe	4	1	0	0.63
SOAP-fuse	4	1	0	0.63
ARRIBA	4	1	0	0.62
STARSEQR	4	1	0	0.60
ARRIBA_hc	4	1	0	0.58
PRADA	4	1	0	0.49
FUSIONCATCHER_v1.10_June192019	4	1	0	0.45
PIZZLY	4	1	0	0.44
FusionHunter	4	1	0	0.40
STARCHIP_csm10_pGm2_May012019	4	1	0	0.36
JAFFA-Assembly	4	1	0	0.32
JAFFA-Hybrid	4	1	0	0.32
MapSplice	4	1	0	0.30
InFusion	4	1	0	0.29
TrinityFusion-UC	4	1	0	0.27
TrinityFusion-C	4	1	0	0.24
ChimeraScan	4	1	0	0.20
TrinityFusion-D	4	1	0	0.20
deFuse	4	1	0	0.20
nFuse	4	1	0	0.20
TopHat-Fusion	4	1	0	0.19
EricScript	4	1	0	0.14
STAR_FUSION_v1.5	4	0	1	0.66
ChimPipe	4	0	1	0.63
SOAP-fuse	4	0	1	0.58
STARSEQR	4	0	1	0.54
ARRIBA	4	0	1	0.51
ARRIBA_hc	4	0	1	0.50
PRADA	4	0	1	0.49
FUSIONCATCHER_v1.10_June192019	4	0	1	0.45
FusionHunter	4	0	1	0.40
PIZZLY	4	0	1	0.38
STARCHIP_csm10_pGm2_May012019	4	0	1	0.33
JAFFA-Assembly	4	0	1	0.30
JAFFA-Hybrid	4	0	1	0.30
MapSplice	4	0	1	0.30
InFusion	4	0	1	0.29
TrinityFusion-UC	4	0	1	0.27
TrinityFusion-C	4	0	1	0.26
ChimeraScan	4	0	1	0.20
TopHat-Fusion	4	0	1	0.19
TrinityFusion-D	4	0	1	0.19
nFuse	4	0	1	0.19
deFuse	4	0	1	0.18
EricScript	4	0	1	0.13
STAR_FUSION_v1.5	4	1	1	0.66
ChimPipe	4	1	1	0.63
STARSEQR	4	1	1	0.60
SOAP-fuse	4	1	1	0.59
ARRIBA	4	1	1	0.58
ARRIBA_hc	4	1	1	0.55
PRADA	4	1	1	0.49
FUSIONCATCHER_v1.10_June192019	4	1	1	0.45
PIZZLY	4	1	1	0.42
FusionHunter	4	1	1	0.40
STARCHIP_csm10_pGm2_May012019	4	1	1	0.36
JAFFA-Assembly	4	1	1	0.32
JAFFA-Hybrid	4	1	1	0.32
MapSplice	4	1	1	0.30
InFusion	4	1	1	0.29
TrinityFusion-UC	4	1	1	0.27
TrinityFusion-C	4	1	1	0.26
ChimeraScan	4	1	1	0.20
deFuse	4	1	1	0.20
nFuse	4	1	1	0.20
TopHat-Fusion	4	1	1	0.19
TrinityFusion-D	4	1	1	0.19
EricScript	4	1	1	0.14
STAR_FUSION_v1.5	4	0	0	0.69
ChimPipe	4	0	0	0.63
SOAP-fuse	4	0	0	0.63
ARRIBA	4	0	0	0.55
STARSEQR	4	0	0	0.54
ARRIBA_hc	4	0	0	0.53
PRADA	4	0	0	0.49
FUSIONCATCHER_v1.10_June192019	4	0	0	0.45
FusionHunter	4	0	0	0.40
PIZZLY	4	0	0	0.40
STARCHIP_csm10_pGm2_May012019	4	0	0	0.33
JAFFA-Assembly	4	0	0	0.30
JAFFA-Hybrid	4	0	0	0.30
MapSplice	4	0	0	0.30
InFusion	4	0	0	0.29
TrinityFusion-UC	4	0	0	0.27
TrinityFusion-C	4	0	0	0.24
ChimeraScan	4	0	0	0.20
TrinityFusion-D	4	0	0	0.20
TopHat-Fusion	4	0	0	0.19
nFuse	4	0	0	0.19
deFuse	4	0	0	0.18
EricScript	4	0	0	0.13
STAR_FUSION_v1.5	5	0	1	0.75
ChimPipe	5	0	1	0.69
SOAP-fuse	5	0	1	0.67
STARSEQR	5	0	1	0.65
ARRIBA	5	0	1	0.61
ARRIBA_hc	5	0	1	0.60
PRADA	5	0	1	0.60
FUSIONCATCHER_v1.10_June192019	5	0	1	0.53
FusionHunter	5	0	1	0.49
PIZZLY	5	0	1	0.44
STARCHIP_csm10_pGm2_May012019	5	0	1	0.38
JAFFA-Assembly	5	0	1	0.37
JAFFA-Hybrid	5	0	1	0.37
MapSplice	5	0	1	0.36
InFusion	5	0	1	0.35
TrinityFusion-UC	5	0	1	0.32
TrinityFusion-C	5	0	1	0.30
ChimeraScan	5	0	1	0.23
TrinityFusion-D	5	0	1	0.23
deFuse	5	0	1	0.23
TopHat-Fusion	5	0	1	0.22
nFuse	5	0	1	0.22
EricScript	5	0	1	0.16
STAR_FUSION_v1.5	5	0	0	0.76
SOAP-fuse	5	0	0	0.70
ChimPipe	5	0	0	0.69
STARSEQR	5	0	0	0.65
ARRIBA	5	0	0	0.64
ARRIBA_hc	5	0	0	0.62
PRADA	5	0	0	0.60
FUSIONCATCHER_v1.10_June192019	5	0	0	0.53
FusionHunter	5	0	0	0.49
PIZZLY	5	0	0	0.47
STARCHIP_csm10_pGm2_May012019	5	0	0	0.38
JAFFA-Assembly	5	0	0	0.37
JAFFA-Hybrid	5	0	0	0.37
MapSplice	5	0	0	0.36
InFusion	5	0	0	0.35
TrinityFusion-UC	5	0	0	0.32
TrinityFusion-C	5	0	0	0.30
TrinityFusion-D	5	0	0	0.25
ChimeraScan	5	0	0	0.23
deFuse	5	0	0	0.23
TopHat-Fusion	5	0	0	0.22
nFuse	5	0	0	0.22
EricScript	5	0	0	0.16
STAR_FUSION_v1.5	5	1	1	0.76
ChimPipe	5	1	1	0.72
STARSEQR	5	1	1	0.72
ARRIBA	5	1	1	0.68
SOAP-fuse	5	1	1	0.67
ARRIBA_hc	5	1	1	0.66
PRADA	5	1	1	0.60
FUSIONCATCHER_v1.10_June192019	5	1	1	0.54
FusionHunter	5	1	1	0.49
PIZZLY	5	1	1	0.49
STARCHIP_csm10_pGm2_May012019	5	1	1	0.42
JAFFA-Assembly	5	1	1	0.39
JAFFA-Hybrid	5	1	1	0.39
InFusion	5	1	1	0.36
MapSplice	5	1	1	0.36
TrinityFusion-UC	5	1	1	0.32
TrinityFusion-C	5	1	1	0.30
ChimeraScan	5	1	1	0.24
deFuse	5	1	1	0.24
TrinityFusion-D	5	1	1	0.23
nFuse	5	1	1	0.23
TopHat-Fusion	5	1	1	0.22
EricScript	5	1	1	0.17
STAR_FUSION_v1.5	5	1	0	0.77
ARRIBA	5	1	0	0.72
ChimPipe	5	1	0	0.72
STARSEQR	5	1	0	0.72
SOAP-fuse	5	1	0	0.71
