prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
8.2	STAR_FUSION_v1.5	4	42	4	1	0.98	0.91	0.944	8
8.3	SOAP-fuse	2	41	3	2	0.95	0.93	0.94	8
8.4	STARSEQR	3	41	7	2	0.95	0.85	0.897	8
8.5	PRADA	5	33	0	10	0.77	1	0.87	8
8.6	ARRIBA_hc	3	38	8	5	0.88	0.83	0.854	8
8.7	FUSIONCATCHER_v1.10_June192019	3	37	13	6	0.86	0.74	0.795	8
8.8	ARRIBA	4	39	20	4	0.91	0.66	0.765	8
8.9	FusionHunter	3	27	1	16	0.63	0.96	0.761	8
8.10	JAFFA-Hybrid	2	27	5	16	0.63	0.84	0.72	8
8.11	JAFFA-Assembly	2	27	5	16	0.63	0.84	0.72	8
8.12	STARCHIP_csm10_pGm2_May012019	3	25	4	18	0.58	0.86	0.693	8
8.13	TrinityFusion-UC	2	22	0	21	0.51	1	0.675	8
8.14	TrinityFusion-C	2	21	1	22	0.49	0.95	0.647	8
8.15	MapSplice	8	27	14	16	0.63	0.66	0.645	8
8.16	PIZZLY	9	25	11	18	0.58	0.69	0.63	8
8.17	InFusion	8	27	21	16	0.63	0.56	0.593	8
8.18	deFuse	7	28	30	15	0.65	0.48	0.552	8
8.19	TrinityFusion-D	4	15	1	28	0.35	0.94	0.51	8
8.20	TopHat-Fusion	8	27	51	16	0.63	0.35	0.45	8
8.21	nFuse	23	19	26	24	0.44	0.42	0.43	8
8.22	ChimeraScan	8	23	47	20	0.53	0.33	0.407	8
8.23	EricScript	10	23	50	20	0.53	0.32	0.399	8
9.1	ChimPipe	3	35	0	3	0.92	1	0.958	9
9.2	SOAP-fuse	5	36	2	2	0.95	0.95	0.95	9
9.3	STAR_FUSION_v1.5	5	37	4	1	0.97	0.9	0.934	9
9.4	PRADA	5	33	0	5	0.87	1	0.93	9
9.5	STARSEQR	3	37	7	1	0.97	0.84	0.9	9
9.6	ARRIBA_hc	3	34	8	4	0.89	0.81	0.848	9
9.7	FUSIONCATCHER_v1.10_June192019	4	35	12	3	0.92	0.74	0.82	9
9.8	FUSIONCATCHER_v1.10_June192019	5	34	11	4	0.89	0.76	0.82	9
9.9	ARRIBA	5	34	17	4	0.89	0.67	0.764	9
9.10	FusionHunter	4	24	1	14	0.63	0.96	0.761	9
9.11	JAFFA-Hybrid	2	26	5	12	0.68	0.84	0.752	9
9.12	JAFFA-Assembly	2	26	5	12	0.68	0.84	0.752	9
9.13	STARCHIP_csm10_pGm2_May012019	3	24	4	14	0.63	0.86	0.727	9
9.14	TrinityFusion-UC	2	21	0	17	0.55	1	0.71	9
9.15	TrinityFusion-C	2	21	1	17	0.55	0.95	0.697	9
9.16	MapSplice	8	27	14	11	0.71	0.66	0.684	9
9.17	PIZZLY	9	25	11	13	0.66	0.69	0.675	9
9.18	InFusion	8	25	21	13	0.66	0.54	0.594	9
9.19	deFuse	7	27	30	11	0.71	0.47	0.566	9
9.20	TrinityFusion-D	4	15	1	23	0.39	0.94	0.551	9
9.21	nFuse	23	19	26	19	0.5	0.42	0.457	9
9.22	TopHat-Fusion	8	26	51	12	0.68	0.34	0.453	9
9.23	ChimeraScan	8	23	47	15	0.61	0.33	0.428	9
9.24	EricScript	16	20	40	18	0.53	0.33	0.407	9
10.1	PRADA	5	33	0	1	0.97	1	0.985	10
10.2	ChimPipe	3	33	0	1	0.97	1	0.985	10
10.3	SOAP-fuse	5	34	2	0	1	0.94	0.969	10
10.4	STAR_FUSION_v1.5	5	33	4	1	0.97	0.89	0.928	10
10.5	STARSEQR	3	34	7	0	1	0.83	0.907	10
10.6	ARRIBA_hc	3	30	8	4	0.88	0.79	0.833	10
10.7	FUSIONCATCHER_v1.10_June192019	4	32	12	2	0.94	0.73	0.822	10
10.8	FusionHunter	4	23	1	11	0.68	0.96	0.796	10
10.9	ARRIBA	7	26	9	8	0.76	0.74	0.75	10
10.10	JAFFA-Assembly	2	23	5	11	0.68	0.82	0.743	10
10.11	JAFFA-Hybrid	2	23	5	11	0.68	0.82	0.743	10
10.12	TrinityFusion-UC	2	20	0	14	0.59	1	0.742	10
10.13	STARCHIP_csm10_pGm2_May012019	3	22	4	12	0.65	0.85	0.737	10
10.14	TrinityFusion-C	2	20	1	14	0.59	0.95	0.728	10
10.15	MapSplice	15	22	5	12	0.65	0.81	0.721	10
10.16	PIZZLY	9	24	11	10	0.71	0.69	0.7	10
10.17	InFusion	9	22	19	12	0.65	0.54	0.59	10
10.18	deFuse	7	26	30	8	0.76	0.46	0.573	10
10.19	TrinityFusion-D	4	12	1	22	0.35	0.92	0.507	10
10.20	nFuse	23	18	26	16	0.53	0.41	0.462	10
10.21	TopHat-Fusion	8	24	51	10	0.71	0.32	0.441	10
10.22	EricScript	16	20	40	14	0.59	0.33	0.423	10
10.23	ChimeraScan	8	21	47	13	0.62	0.31	0.413	10
