prog	rankval	mt	iu	okp	auc
279	STARCHIP_csm10_pGm2_May012019	11	8	1	0	0.53
280	STARCHIP_csm10_pGm2_May012019	11	8	1	1	0.53
281	STARCHIP_csm10_pGm2_May012019	14	9	0	0	0.5
282	STARCHIP_csm10_pGm2_May012019	14	9	0	1	0.5
283	STARCHIP_csm10_pGm2_May012019	11	9	1	0	0.58
284	STARCHIP_csm10_pGm2_May012019	11	9	1	1	0.58
285	STARCHIP_csm10_pGm2_May012019	14	10	0	0	0.45
286	STARCHIP_csm10_pGm2_May012019	14	10	0	1	0.45
287	STARCHIP_csm10_pGm2_May012019	11	10	1	0	0.58
288	STARCHIP_csm10_pGm2_May012019	11	10	1	1	0.58
289	FusionHunter	10	3	0	0	0.29
290	FusionHunter	10	3	0	1	0.29
291	FusionHunter	11	3	1	0	0.29
292	FusionHunter	11	3	1	1	0.29
293	FusionHunter	9	4	0	0	0.4
294	FusionHunter	9	4	0	1	0.4
295	FusionHunter	10	4	1	0	0.4
296	FusionHunter	10	4	1	1	0.4
297	FusionHunter	9	5	0	0	0.49
298	FusionHunter	9	5	0	1	0.49
299	FusionHunter	10	5	1	0	0.49
300	FusionHunter	9	5	1	1	0.49
301	FusionHunter	9	6	0	0	0.52
302	FusionHunter	9	6	0	1	0.52
303	FusionHunter	10	6	1	0	0.54
304	FusionHunter	10	6	1	1	0.54
305	FusionHunter	10	7	0	0	0.52
306	FusionHunter	10	7	0	1	0.52
307	FusionHunter	10	7	1	0	0.56
308	FusionHunter	10	7	1	1	0.56
309	FusionHunter	10	8	0	0	0.56
310	FusionHunter	9	8	0	1	0.56
311	FusionHunter	10	8	1	0	0.6
312	FusionHunter	10	8	1	1	0.6
313	FusionHunter	10	9	0	0	0.56
314	FusionHunter	10	9	0	1	0.56
315	FusionHunter	10	9	1	0	0.6
316	FusionHunter	10	9	1	1	0.6
317	FusionHunter	10	10	0	0	0.6
318	FusionHunter	10	10	0	1	0.6
319	FusionHunter	10	10	1	0	0.64
320	FusionHunter	10	10	1	1	0.64
321	PIZZLY	11	3	0	0	0.29
322	PIZZLY	11	3	0	1	0.28
323	PIZZLY	9	3	1	0	0.33
324	PIZZLY	10	3	1	1	0.31
325	PIZZLY	10	4	0	0	0.4
326	PIZZLY	10	4	0	1	0.38
327	PIZZLY	9	4	1	0	0.44
328	PIZZLY	9	4	1	1	0.42
329	PIZZLY	10	5	0	0	0.47
330	PIZZLY	10	5	0	1	0.44
331	PIZZLY	9	5	1	0	0.52
332	PIZZLY	10	5	1	1	0.49
333	PIZZLY	10	6	0	0	0.51
334	PIZZLY	10	6	0	1	0.49
335	PIZZLY	9	6	1	0	0.57
336	PIZZLY	9	6	1	1	0.55
337	PIZZLY	9	7	0	0	0.55
338	PIZZLY	9	7	0	1	0.53
339	PIZZLY	9	7	1	0	0.61
340	PIZZLY	9	7	1	1	0.59
341	PIZZLY	9	8	0	0	0.57
342	PIZZLY	10	8	0	1	0.55
343	PIZZLY	9	8	1	0	0.63
344	PIZZLY	9	8	1	1	0.61
345	PIZZLY	9	9	0	0	0.62
346	PIZZLY	9	9	0	1	0.6
347	PIZZLY	9	9	1	0	0.69
348	PIZZLY	9	9	1	1	0.67
349	PIZZLY	7	10	0	0	0.65
350	PIZZLY	7	10	0	1	0.65
351	PIZZLY	9	10	1	0	0.73
352	PIZZLY	9	10	1	1	0.73
353	JAFFA-Assembly	12	3	0	0	0.23
354	JAFFA-Assembly	12	3	0	1	0.23
355	JAFFA-Assembly	12	3	1	0	0.24
356	JAFFA-Assembly	12	3	1	1	0.24
357	JAFFA-Assembly	12	4	0	0	0.3
358	JAFFA-Assembly	12	4	0	1	0.3
359	JAFFA-Assembly	12	4	1	0	0.32
360	JAFFA-Assembly	12	4	1	1	0.32
361	JAFFA-Assembly	12	5	0	0	0.37
362	JAFFA-Assembly	12	5	0	1	0.37
363	JAFFA-Assembly	12	5	1	0	0.39
364	JAFFA-Assembly	12	5	1	1	0.39
365	JAFFA-Assembly	12	6	0	0	0.43
366	JAFFA-Assembly	12	6	0	1	0.43
367	JAFFA-Assembly	12	6	1	0	0.45
368	JAFFA-Assembly	12	6	1	1	0.45
369	JAFFA-Assembly	11	7	0	0	0.43
370	JAFFA-Assembly	11	7	0	1	0.43
371	JAFFA-Assembly	12	7	1	0	0.47
372	JAFFA-Assembly	12	7	1	1	0.47
373	JAFFA-Assembly	11	8	0	0	0.46
374	JAFFA-Assembly	11	8	0	1	0.46
375	JAFFA-Assembly	12	8	1	0	0.5
376	JAFFA-Assembly	12	8	1	1	0.5
377	JAFFA-Assembly	12	9	0	0	0.5
378	JAFFA-Assembly	12	9	0	1	0.5
379	JAFFA-Assembly	12	9	1	0	0.54
380	JAFFA-Assembly	12	9	1	1	0.54
381	JAFFA-Assembly	12	10	0	0	0.48
382	JAFFA-Assembly	12	10	0	1	0.48
383	JAFFA-Assembly	13	10	1	0	0.55
384	JAFFA-Assembly	13	10	1	1	0.55
385	JAFFA-Hybrid	13	3	0	0	0.23
386	JAFFA-Hybrid	13	3	0	1	0.23
387	JAFFA-Hybrid	13	3	1	0	0.24
388	JAFFA-Hybrid	13	3	1	1	0.24
389	JAFFA-Hybrid	13	4	0	0	0.3
390	JAFFA-Hybrid	13	4	0	1	0.3
391	JAFFA-Hybrid	13	4	1	0	0.32
392	JAFFA-Hybrid	13	4	1	1	0.32
393	JAFFA-Hybrid	13	5	0	0	0.37
394	JAFFA-Hybrid	13	5	0	1	0.37
395	JAFFA-Hybrid	13	5	1	0	0.39
396	JAFFA-Hybrid	13	5	1	1	0.39
397	JAFFA-Hybrid	13	6	0	0	0.43
398	JAFFA-Hybrid	13	6	0	1	0.43
399	JAFFA-Hybrid	13	6	1	0	0.45
400	JAFFA-Hybrid	13	6	1	1	0.45
401	JAFFA-Hybrid	12	7	0	0	0.43
402	JAFFA-Hybrid	12	7	0	1	0.43
403	JAFFA-Hybrid	13	7	1	0	0.47
404	JAFFA-Hybrid	13	7	1	1	0.47
405	JAFFA-Hybrid	12	8	0	0	0.46
406	JAFFA-Hybrid	12	8	0	1	0.46
407	JAFFA-Hybrid	13	8	1	0	0.5
408	JAFFA-Hybrid	13	8	1	1	0.5
409	JAFFA-Hybrid	13	9	0	0	0.5
410	JAFFA-Hybrid	13	9	0	1	0.5
411	JAFFA-Hybrid	13	9	1	0	0.54
412	JAFFA-Hybrid	13	9	1	1	0.54
413	JAFFA-Hybrid	13	10	0	0	0.48
414	JAFFA-Hybrid	13	10	0	1	0.48
415	JAFFA-Hybrid	14	10	1	0	0.55
416	JAFFA-Hybrid	14	10	1	1	0.55
417	InFusion	14	3	0	0	0.22
418	InFusion	14	3	0	1	0.22
419	InFusion	14	3	1	0	0.23
420	InFusion	14	3	1	1	0.23
421	InFusion	15	4	0	0	0.29
422	InFusion	15	4	0	1	0.29
423	InFusion	15	4	1	0	0.29
424	InFusion	15	4	1	1	0.29
425	InFusion	15	5	0	0	0.35
426	InFusion	15	5	0	1	0.35
427	InFusion	14	5	1	0	0.36
428	InFusion	14	5	1	1	0.36
429	InFusion	15	6	0	0	0.39
430	InFusion	15	6	0	1	0.39
431	InFusion	14	6	1	0	0.4
432	InFusion	14	6	1	1	0.4
433	InFusion	16	7	0	0	0.38
434	InFusion	16	7	0	1	0.38
435	InFusion	15	7	1	0	0.4
436	InFusion	15	7	1	1	0.4
437	InFusion	16	8	0	0	0.41
438	InFusion	16	8	0	1	0.41
439	InFusion	15	8	1	0	0.43
440	InFusion	15	8	1	1	0.43
441	InFusion	17	9	0	0	0.42
442	InFusion	17	9	0	1	0.42
443	InFusion	17	9	1	0	0.44
444	InFusion	17	9	1	1	0.44
445	InFusion	17	10	0	0	0.39
446	InFusion	17	10	0	1	0.39
447	InFusion	17	10	1	0	0.43
448	InFusion	17	10	1	1	0.43
449	MapSplice	15	3	0	0	0.21
450	MapSplice	15	3	0	1	0.21
