sample	prog	time_h
G26236.NCI-H716.2	SOAP_FUSE	41.81
G26236.NCI-H716.2	CHIMERASCAN	28.90
G26236.NCI-H716.2	PRADA	12.07
G26236.NCI-H716.2	DEFUSE	30.67
G26236.NCI-H716.2	ERICSCRIPT	6.98
G26236.NCI-H716.2	FUSION_CATCHER_V0994e	4.93
G26236.NCI-H716.2	MAPSPLICE	22.33
G26236.NCI-H716.2	FUSIONHUNTER	8.88
G26236.NCI-H716.2	NFUSE	7.46
G26236.NCI-H716.2	JAFFA_ASSEMBLY	32.06
G26236.NCI-H716.2	JAFFA_HYBRID	66.23
G26236.NCI-H716.2	JAFFA_DIRECT	13.08
G26236.NCI-H716.2	INFUSION_CF3	65.93
G26236.NCI-H716.2	CHIMPIPE	100.27
G26236.NCI-H716.2	ARRIBA	0.97
G26236.NCI-H716.2	PIZZLY	0.95
G26236.NCI-H716.2	STAR_FUSION_v1.5_hg19_Apr042019	2.61
G26236.NCI-H716.2	STARCHIP	0.95
G26236.NCI-H716.2	STARSEQR	2.34
G26236.NCI-H716.2	TRINITY_FUSION_C_hg19	38.08
G26236.NCI-H716.2	TRINITY_FUSION_hg19_Apr092019	76.33
G26236.NCI-H716.2	TRINITY_FUSION_D_hg19	43.98
G26236.NCI-H716.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.04
G26249.KMS-26.2	TOPHAT_FUSION	39.95
G26249.KMS-26.2	SOAP_FUSE	44.94
G26249.KMS-26.2	CHIMERASCAN	31.64
G26249.KMS-26.2	PRADA	13.93
G26249.KMS-26.2	DEFUSE	30.46
G26249.KMS-26.2	ERICSCRIPT	8.47
G26249.KMS-26.2	FUSION_CATCHER_V0994e	11.74
G26249.KMS-26.2	MAPSPLICE	28.93
G26249.KMS-26.2	FUSIONHUNTER	8.61
G26249.KMS-26.2	NFUSE	10.09
G26249.KMS-26.2	JAFFA_ASSEMBLY	31.52
G26249.KMS-26.2	JAFFA_HYBRID	66.50
G26249.KMS-26.2	JAFFA_DIRECT	10.79
G26249.KMS-26.2	INFUSION_CF3	71.89
G26249.KMS-26.2	CHIMPIPE	6.25
